Rank,ID,Movie Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Open,Close
412,401,Outside In,Orch.,"$68,492 ",16,"$14,136 ",9,30-Mar,27-May
641,402,Over the Limit,FM,"$2,862 ",2,"$1,402 ",1,12-Oct,
47,403,Overboard (2018),PNT,"$50,316,123 ","2,006","$14,711,101 ","1,623",4-May,5-Jul
91,404,Overlord,Paramount,"$19,505,026 ","2,859","$10,202,108 ","2,859",9-Nov,
39,405,Pacific Rim Uprising,Universal,"$59,587,110 ","3,708","$28,116,535 ","3,708",23-Mar,26-Jul
183,406,Pad Man,Sony,"$1,670,192 ",152,"$740,313 ",152,9-Feb,8-Mar
64,407,Paddington 2,Warner Brothers,"$40,442,052 ","3,702","$11,001,961 ","3,702",12-Jan,15-Mar
106,408,Padmaavat,VPD,"$11,846,060 ",354,"$4,493,384 ",326,25-Jan,25-Feb
596,409,Painless,Indic.,"$7,082 ",2,"$2,958 ",2,21-Sep,
161,410,Pandas,Warner Brothers,"$2,892,597 ",35,"$158,915 ",33,6-Apr,15-Jul
171,411,Papillon (2018),BST,"$2,335,896 ",544,"$1,090,073 ",544,24-Aug,13-Sep
410,412,Parchi,ADC,"$69,431 ",39,"$34,437 ",39,12-Jan,8-Feb
95,413,"Paul, Apostle of Christ",Affirm,"$17,560,475 ","1,473","$5,172,585 ","1,473",23-Mar,24-May
69,414,Peppermint,STX,"$35,418,723 ","2,980","$13,423,255 ","2,980",7-Sep,1-Nov
259,415,Perfect Blue (2018 re-release),GK,"$446,062 ",491,"$19,020 ",491,7-Sep,
22,416,Peter Rabbit,Sony,"$115,253,424 ","3,725","$25,010,928 ","3,725",9-Feb,14-Jun
470,417,PGS Intuition,Gathr,"$35,423 ",4,,,16-Jan,
246,418,Pick of the Litter,IFC,"$530,845 ",60,"$16,519 ",2,31-Aug,
576,419,Please Stand By,Magn.,"$9,868 ",7,"$4,090 ",5,26-Jan,22-Feb
479,420,Poor Boy,Indic.,"$31,031 ",5,"$10,920 ",4,13-Jul,18-Oct
176,421,Pope Francis - A Man of His Word,Focus,"$2,008,385 ",385,"$507,870 ",346,18-May,30-Sep
618,422,Postcards from London,Strand,"$4,679 ",1,"$2,686 ",1,9-Nov,
541,423,Prayer Before Dawn,A24,"$14,453 ",13,"$14,453 ",13,10-Aug,12-Aug
507,424,Primal Rage: The Bigfoot Reborn,Fathom,"$21,903 ",122,,,27-Feb,28-Feb
186,425,Princess Mononoke - Studio Ghibli (2018),Fathom,"$1,464,271 ",739,"$489,847 ",739,22-Jul,
87,426,Proud Mary,SGem,"$20,877,013 ","2,125","$9,959,053 ","2,125",12-Jan,8-Mar
174,427,Puzzle,SPC,"$2,032,018 ",265,"$61,214 ",5,27-Jul,
487,428,Quai des Orfevres (2018 Re-issue),Rialto,"$28,013 ",2,"$7,125 ",1,13-Apr,26-Jul
182,429,Race 3,Yash,"$1,690,861 ",314,"$1,690,861 ",314,15-Jun,
441,430,Racer & the Jailbird,Super,"$46,337 ",48,"$2,513 ",2,4-May,17-May
208,431,Raid (2018),Eros,"$1,010,385 ",79,"$423,817 ",79,16-Mar,1-Apr
46,432,Ralph Breaks the Internet,Buena Vista,"$50,535,000 ","4,017",,"4,017",21-Nov,
431,433,Ramen Heads,FB,"$57,345 ",6,"$7,085 ",2,16-Mar,26-Apr
26,434,Rampage (2018),New Line,"$99,345,950 ","4,115","$35,753,093 ","4,101",13-Apr,26-Jul
